iter	Passed	Remaining
1457	6310	6674
1458	6314	6669
1459	6317	6664
1460	6321	6658
1461	6324	6653
1462	6327	6647
1463	6331	6642
1464	6335	6638
1465	6338	6632
1466	6341	6627
1467	6345	6621
1468	6349	6617
1469	6354	6613
1470	6358	6609
1471	6361	6603
1472	6365	6598
1473	6368	6593
1474	6372	6588
1475	6375	6583
1476	6379	6577
1477	6382	6572
1478	6386	6567
1479	6389	6562
1480	6393	6557
1481	6397	6553
1482	6402	6549
1483	6406	6544
1484	6409	6539
1485	6413	6534
1486	6417	6529
1487	6421	6524
1488	6425	6520
1489	6429	6515
1490	6432	6510
1491	6435	6504
1492	6439	6499
1493	6442	6494
1494	6446	6489
1495	6450	6484
1496	6455	6481
1497	6459	6476
1498	6463	6471
1499	6467	6467
1500	6470	6462
1501	6474	6457
1502	6477	6451
1503	6480	6446
1504	6485	6442
1505	6489	6437
1506	6492	6432
1507	6496	6427
1508	6501	6423
1509	6504	6418
1510	6507	6412
1511	6511	6407
1512	6514	6402
1513	6518	6398
1514	6522	6393
1515	6525	6387
1516	6528	6382
1517	6532	6377
1518	6536	6373
1519	6539	6367
1520	6543	6362
1521	6547	6358
1522	6554	6356
1523	6557	6351
1524	6562	6347
1525	6568	6344
1526	6573	6341
1527	6578	6337
1528	6584	6335
1529	6588	6330
1530	6591	6324
1531	6595	6320
1532	6600	6315
1533	6603	6310
1534	6606	6305
1535	6609	6299
1536	6613	6295
1537	6617	6290
1538	6620	6284
1539	6623	6279
1540	6626	6273
1541	6630	6268
1542	6634	6264
1543	6637	6259
1544	6641	6254
1545	6645	6249
1546	6651	6246
1547	6655	6242
1548	6658	6237
1549	6662	6232
1550	6666	6227
1551	6670	6223
1552	6673	6217
1553	6676	6212
1554	6680	6207
1555	6685	6204
1556	6688	6199
1557	6692	6194
1558	6696	6189
1559	6700	6185
1560	6703	6179
1561	6707	6174
1562	6711	6170
1563	6715	6165
1564	6718	6160
1565	6722	6155
1566	6725	6150
1567	6729	6146
1568	6734	6141
1569	6737	6136
1570	6740	6131
1571	6743	6125
1572	6747	6121
1573	6752	6117
1574	6756	6112
1575	6759	6107
1576	6763	6102
1577	6767	6098
1578	6770	6093
1579	6774	6088
1580	6777	6083
1581	6782	6079
1582	6785	6074
1583	6788	6068
1584	6792	6064
1585	6796	6059
1586	6800	6055
1587	6804	6050
1588	6807	6045
1589	6812	6041
1590	6816	6036
1591	6819	6031
1592	6822	6025
1593	6825	6020
1594	6830	6016
1595	6834	6012
1596	6837	6007
1597	6841	6002
1598	6845	5997
1599	6848	5992
1600	6852	5988
1601	6855	5982
1602	6859	5977
1603	6862	5972
1604	6866	5968
1605	6870	5963
1606	6873	5957
1607	6876	5953
1608	6880	5948
1609	6884	5944
1610	6888	5939
1611	6891	5934
1612	6895	5929
1613	6899	5924
1614	6902	5919
1615	6906	5914
1616	6910	5910
1617	6914	5905
1618	6918	5901
1619	6921	5896
1620	6924	5891
1621	6928	5886
1622	6933	5882
1623	6936	5877
1624	6939	5872
1625	6943	5867
1626	6949	5864
1627	6952	5859
1628	6956	5854
1629	6960	5850
1630	6964	5845
1631	6967	5840
1632	6970	5835
1633	6973	5829
1634	6977	5825
1635	6981	5821
1636	6985	5816
1637	6988	5811
1638	6992	5806
1639	6996	5801
1640	7000	5797
1641	7003	5792
1642	7006	5786
1643	7010	5782
1644	7014	5778
1645	7018	5773
1646	7021	5768
1647	7024	5762
1648	7028	5758
1649	7032	5753
1650	7035	5748
1651	7038	5743
1652	7042	5738
1653	7047	5735
1654	7052	5731
1655	7055	5725
1656	7059	5721
1657	7062	5716
1658	7065	5711
1659	7069	5706
1660	7072	5701
1661	7075	5696
1662	7079	5691
1663	7084	5687
1664	7087	5682
1665	7090	5677
1666	7094	5672
1667	7098	5668
1668	7102	5663
1669	7105	5659
1670	7109	5654
1671	7112	5649
1672	7115	5644
1673	7118	5638
1674	7121	5633
1675	7125	5629
1676	7130	5625
1677	7133	5620
1678	7136	5615
1679	7140	5610
1680	7143	5605
1681	7147	5600
1682	7151	5596
