iter	MAPE	RMSE
1853	0.07009604476	191858.8088
1854	0.07007857636	191836.5394
1855	0.07006969821	191819.3771
1856	0.07005928085	191816.4118
1857	0.07004488388	191798.2238
1858	0.07003418011	191792.7521
1859	0.07002950373	191757.3274
1860	0.07001568439	191735.9949
1861	0.07000610978	191707.936
1862	0.06999287314	191701.8325
1863	0.06999212722	191686.4448
1864	0.06998369958	191669.0213
1865	0.0699738264	191657.6377
1866	0.06997110632	191629.8228
1867	0.06996158259	191605.4318
1868	0.06993887332	191560.2442
1869	0.06993182213	191549.2314
1870	0.06991767392	191509.2989
1871	0.06989991276	191488.1286
1872	0.06990262635	191473.8052
1873	0.06990519235	191470.886
1874	0.06990187167	191441.3728
1875	0.06988778534	191420.0052
1876	0.06986056599	191398.3517
1877	0.0698448384	191393.1118
1878	0.06983945757	191383.3502
1879	0.06982729955	191364.9167
1880	0.06982505665	191353.9678
1881	0.06983130201	191280.6927
1882	0.06979932194	191269.7886
1883	0.06979058377	191251.1192
1884	0.06977967481	191167.7605
1885	0.06976879085	191158.5423
1886	0.06977442891	191150.8676
1887	0.06977181029	191145.828
1888	0.06976262934	191125.6384
1889	0.06975713661	191102.8211
1890	0.06974603175	191098.5573
1891	0.06974107295	191072.5508
1892	0.06973531466	191069.8702
1893	0.06973160221	191062.9997
1894	0.06972226201	191028.9772
1895	0.06972348195	191011.8682
1896	0.06971932042	191001.5855
1897	0.06969870165	190994.2155
1898	0.06968148194	190985.2481
1899	0.0696704108	190972.133
1900	0.06966644514	190941.7271
1901	0.06966497921	190917.2976
1902	0.06965496262	190840.2293
1903	0.06964284512	190795.9751
1904	0.06962130052	190786.8997
1905	0.06961239165	190762.3036
1906	0.06960103661	190758.3954
1907	0.06958655134	190740.1567
1908	0.06958225917	190727.557
1909	0.06958056289	190701.9588
1910	0.06956778133	190650.7397
1911	0.06953881561	190649.5637
1912	0.06954176841	190641.7048
1913	0.06953786832	190620.5059
1914	0.06953784109	190598.7748
1915	0.0695222879	190561.8832
1916	0.06951909029	190521.6896
1917	0.06949926121	190472.035
1918	0.0695018752	190467.0471
1919	0.06950327138	190452.3354
1920	0.06950501479	190446.7733
1921	0.06948113475	190427.3916
1922	0.06946853477	190399.2401
1923	0.06944111672	190384.9925
1924	0.06944683353	190363.785
1925	0.06943757612	190318.1087
1926	0.06942840084	190291.3556
1927	0.06942849104	190287.6862
1928	0.06940503792	190271.742
1929	0.06937994336	190264.4915
1930	0.06937444337	190193.5786
1931	0.06934885178	190187.5211
1932	0.06933181558	190153.6869
1933	0.06932516463	190132.0868
1934	0.06932435188	190113.491
1935	0.06930255349	190104.7814
1936	0.06929361251	190084.0944
1937	0.0692877528	190077.1474
1938	0.06928780817	190068.9418
1939	0.06928407127	190061.4965
1940	0.06928408551	190045.6313
1941	0.06928355582	190042.3987
1942	0.06927599742	189961.0658
1943	0.06927207705	189948.7167
1944	0.06925513969	189946.8495
1945	0.06925284656	189935.3673
1946	0.06925379234	189870.9993
1947	0.06922925232	189857.4027
1948	0.06922853362	189803.2254
1949	0.06922620297	189795.7056
1950	0.06923070143	189778.2624
1951	0.06921745034	189742.2863
1952	0.06920244854	189727.7691
1953	0.06920023342	189710.0991
1954	0.06919114827	189706.0259
1955	0.06919368333	189674.8419
1956	0.06918719031	189630.7966
1957	0.06917961057	189601.9198
1958	0.06917819229	189559.766
1959	0.06917791937	189555.2335
1960	0.06916648341	189547.0288
1961	0.06914662517	189534.1897
1962	0.06914028613	189527.2358
1963	0.06911049606	189513.8825
1964	0.0691083818	189511.4051
1965	0.06908752015	189502.1947
1966	0.06907874028	189490.5563
1967	0.06906559152	189484.0086
1968	0.06905652865	189476.5853
